sentid	sentence
0	the Jedi sleep
1	the light fight
2	the Force fight in you
3	the Force sleep
4	the darkness seek the darkness
5	the Force seek the Jedi in the light
6	the rain fight through the Force in the Jedi
7	the light fight in you
8	the Jedi fight
9	the rain seek we in the Force
10	the Force fight
11	the Jedi fight
12	the Force fight
13	the night sleep
14	they fight
15	the light in we seek the Force
16	I fight through the forest in the Force in the darkness in I in the Force in the forest
17	the forest teach the light
18	the Jedi seek the night
19	the night fight
20	the darkness seek the Force
21	the darkness in the night teach the rain
22	the light fight
23	the darkness sleep through we
24	the light fight
25	the Force teach the night
26	you fight
27	the light fight
28	the rain seek the Force
29	the night fight through the Force
30	the Force through the darkness seek you
31	I teach the darkness
32	the Force seek the light
33	the Force seek they
34	the Jedi teach the Jedi
35	the Jedi teach the light
36	the rain sleep
37	you teach we
38	the Force fight
39	the rain seek the rain in the Jedi
40	I fight
41	the Force sleep
42	the rain teach the path
43	we fight
44	the forest sleep
45	the night seek the Force in the Jedi
46	you in I fight
47	the Force sleep
48	the Force sleep
49	we follow the rain through you
50	I in the Force fight
51	we seek the Force
52	they teach the Force
53	the light fight
54	we fight in the Force
55	we fight
56	they follow the darkness
57	the Jedi teach the night
58	the path follow the forest in the rain
59	you fight
60	the forest in the darkness in the Jedi teach the Jedi
61	the light follow the forest through the Jedi
62	the forest sleep
63	I fight
64	the Force follow the Force
65	I sleep
66	the Force follow you
67	I fight
68	they teach the darkness through the Force in we
69	the darkness seek the darkness
70	I seek the Jedi
71	the forest seek the Force
72	you fight
73	I seek you in the Force
74	the Force sleep
75	the Force in the Force teach the Jedi
76	we fight
77	I follow the night in the Jedi
78	the Force follow the forest
79	I follow the light through the night through the light
80	the Force teach the night
81	the rain seek the path through the path
82	the darkness seek the Force
83	you follow the forest in the Jedi through the Jedi
84	the Force follow the rain in the light in the darkness
85	the path sleep
86	the night seek the rain
87	the rain fight
88	the night sleep
89	the Force follow the Force
90	the forest seek the path
91	the forest fight
92	you fight
93	the darkness in the Force fight
94	they sleep
95	the forest sleep
96	they in the forest teach I
97	the night fight
98	the Force fight through the rain
99	the light sleep in the Force
100	the rain fight
101	the Force fight
102	they seek the Jedi in the Force
103	the forest fight
104	the light sleep
105	the rain sleep
106	the Jedi sleep through the night
107	the darkness teach the light
108	the night fight
109	the light fight
110	the Force seek the forest in the rain
111	the darkness teach the rain
112	the darkness seek we
113	the Jedi seek the path in the forest in the forest in the forest
114	the night follow the Jedi
115	the Jedi fight
116	the Jedi fight
117	the Jedi fight
118	the Jedi sleep in the night
119	I fight
120	the Jedi in the Jedi sleep in the rain through they
121	the Jedi sleep
122	the rain follow the darkness in the Jedi
123	the path teach the path
124	the forest sleep
125	the Jedi teach the rain in the night
126	the light sleep
127	the rain seek the rain
128	they fight
129	the darkness teach the rain in the Force
130	they sleep
131	the Jedi teach the Force
132	I fight
133	the Force seek the rain
134	you sleep
135	the darkness seek the Jedi in the rain through the Force
136	the path seek the rain
137	we seek they
138	we seek I
139	I fight
140	you seek they in the darkness in you in the Jedi
141	the darkness sleep
142	the Force fight
143	the Force sleep
144	the Jedi through the light teach the darkness in the Jedi
145	the path sleep through I in they
146	we fight
147	we sleep
148	the darkness seek the Jedi in the Force through the forest in we
149	we teach I
150	the night sleep
151	the Jedi fight
152	you seek the Jedi in we
153	the Jedi sleep through the night
154	the Force sleep
155	the path fight
156	the Force teach the Jedi
157	the path fight in the night
158	the darkness sleep in the forest in the Force
159	the light fight
160	the night seek the path in the Force
161	the Force fight in the darkness through the forest
162	you follow the rain
163	the Force sleep
164	we sleep in the forest
165	the Jedi sleep
166	the path seek the path
167	the rain teach the rain in the night
168	the Jedi teach I
169	I fight
170	the darkness fight
171	we follow the darkness through you
172	they follow the path
173	the Jedi sleep
174	the Force teach I
175	the forest fight
176	the night in the night sleep
177	the night follow the rain
178	you sleep
179	they seek the Force in the forest through the Jedi through the night
180	the rain follow the Force
181	the light follow the Jedi
182	the forest seek the light
183	the Force sleep in the path through the Jedi
184	the Jedi in the Force seek the light
185	the Force seek the light in we
186	the Jedi seek the Jedi in the rain
187	the Jedi seek the Jedi
188	the Force seek the Jedi
189	the forest follow the Force
190	the rain sleep
191	the darkness seek the Jedi
192	the light follow the Jedi
193	the light seek the Jedi
194	the darkness fight in they
195	the rain teach the Force
196	the rain seek the Jedi
197	the Jedi teach the light
198	they seek the darkness
199	the Force fight
200	the Jedi fight
201	the forest seek the night
202	the rain fight
203	I sleep
204	they through I sleep
205	the rain follow the Force in the Force
206	the Force seek we
207	the Jedi teach you
208	the Force fight
209	we follow the Jedi
210	the Jedi fight in the Jedi
211	the Force sleep
212	the night fight
213	the night fight
214	the darkness sleep
215	the forest follow the Jedi in the darkness
216	they sleep in the Force in they
217	the Force seek the night through the Force
218	the light teach you
219	we fight
220	the light sleep
221	the night fight
222	the Force seek the Force
223	the Jedi teach you
224	the Jedi in we seek the Jedi in the Jedi
225	the Jedi fight
226	the Force fight
227	I seek the Jedi in you
228	the Force sleep
229	the rain sleep
230	we fight
231	the Jedi sleep
232	the path sleep
233	the Force follow the Jedi through the Force
234	the rain seek the darkness
235	I sleep
236	the darkness sleep
237	the Force teach I
238	you sleep
239	the light seek the Force
240	the path seek the Jedi in the forest in the light
241	the path sleep in the Jedi
242	you fight in the Force through the Force
243	we fight
244	the path fight
245	the Force seek the night
246	I sleep
247	the Force sleep
248	the rain teach we
249	the Jedi fight
250	the Jedi seek the light
251	the rain seek the light
252	the darkness sleep
253	the rain seek the path
254	the forest teach you
255	the light fight in the Jedi
256	the Force sleep
257	the Jedi through the Jedi through the Force seek the Force
258	the rain fight
259	the rain fight in the darkness
260	the Jedi teach the path in the light
261	they teach the darkness
262	the Force sleep
263	the rain in we fight through I
264	they teach the light
265	the Jedi teach the Jedi
266	the path seek the light in I
267	the light sleep
268	I teach the Force
269	the forest teach they
270	the Jedi sleep
271	I sleep in the rain
272	the path seek the forest
273	the path fight in the Force
274	the Force follow they
275	the Force seek the night
276	the Force seek the rain
277	the light seek you
278	the night seek the Force
279	you follow the darkness in the night
280	the night follow the forest
281	I follow I through the rain
282	the Jedi teach we through the darkness in the forest in the forest
283	they follow I
284	the darkness sleep
285	the forest follow the light through the Jedi in the Force in the path
286	they fight
287	the Force seek the forest
288	the Jedi follow you
289	the forest follow the night
290	we seek the Jedi
291	the forest seek the rain
292	they seek the light
293	the darkness seek the path
294	the forest teach the light
295	the Force seek the Jedi
296	the Force fight
297	the Jedi sleep
298	the darkness in the Jedi sleep
299	the Force seek the Force in the light
300	they follow they
301	the light teach you
302	the rain teach the darkness
303	the light in the Force follow the rain
304	the rain sleep in the rain in the night
305	the rain fight
306	the light seek the path
307	the night seek we
308	the Force teach the Force
309	the Force through the darkness follow the Force in the Jedi in I through the light
310	the path teach the night through the forest in I
311	you fight
312	we seek the Jedi
313	the Jedi fight through the night
314	the Force teach the rain through they
315	the darkness follow the light through the Jedi
316	I fight
317	the Force through we in the night teach the night
318	the light through the path sleep
319	we in the Force follow the Force
320	the rain follow we through the path
321	the Jedi fight
322	they follow the path through we in we through I
323	you teach I
324	the Jedi fight in the rain
325	the Force seek they
326	the Force fight
327	the rain sleep
328	the path seek the Force
329	they fight
330	the rain fight
331	the Jedi fight
332	the Force seek the Jedi
333	the Jedi in the light sleep
334	the path seek the Jedi
335	the forest seek the forest through they
336	the Jedi follow the Jedi in the path
337	the path teach the rain
338	I through the forest fight
339	the night teach you in I
340	you seek the Jedi through the light
341	the darkness fight
342	the night fight in the light
343	the path sleep
344	the light teach they
345	the light fight in the Jedi in the Force
346	the Force teach the forest
347	you follow the Jedi
348	the Jedi fight
349	the night sleep
350	the Force sleep
351	the forest sleep
352	the light seek the Jedi
353	the Jedi sleep
354	we fight
355	the Force fight
356	the darkness fight
357	the rain sleep
358	the Force follow the rain
359	the rain fight
360	the Jedi sleep
361	the rain fight
362	we in the Force in the light seek the Jedi
363	the Jedi seek the path
364	the forest seek the Force
365	the Jedi sleep
366	the forest fight
367	the night fight in the Jedi
368	we in the path follow the Force
369	the forest sleep
370	the path seek the forest in I in the Force
371	the darkness sleep
372	I in you seek the light
373	the Force in the darkness follow the Force
374	the Force seek the forest
375	the darkness sleep
376	they teach the Jedi
377	the Force teach the night
378	the light sleep
379	you in the night through we follow they
380	you sleep
381	the night sleep
382	the path teach the darkness
383	the rain sleep in the forest in the Force in the rain
384	the Force teach the Force
385	the path follow the Force through I in the Jedi
386	the darkness sleep
387	the rain follow the darkness
388	they seek we
389	the light sleep
390	the rain seek the forest
391	you seek the Force
392	we in the path in I sleep
393	the Force sleep
394	the rain sleep in the forest
395	the Jedi seek the path
396	they fight
397	the Force sleep
398	the darkness teach the forest in the Jedi
399	we seek the Force
400	you seek the night in the Force
401	the Jedi teach the Jedi
402	we teach the path in the Force through they
403	the light fight
404	the path follow you
405	the Jedi sleep
406	you follow the light through we
407	the forest sleep in the path
408	the night sleep
409	the forest sleep
410	the rain follow the rain
411	the Jedi sleep through the night
412	the forest follow the forest
413	the night fight in the Jedi
414	I seek you
415	the forest teach the forest through the night through the night in the path
416	you fight
417	the light teach the Force
418	the Jedi follow the Jedi
419	the Force seek the Jedi in the rain in the Force
420	the forest fight
421	the Force sleep
422	the Force teach the light
423	the rain follow you through the Jedi
424	the path fight
425	the darkness fight
426	the forest sleep
427	they seek the Jedi in the night
428	the Jedi follow the forest
429	the light follow the Jedi
430	the darkness teach the Force
431	the forest fight in the Jedi in we
432	the Force fight
433	we seek the forest
434	the Jedi fight
435	the Force sleep
436	we sleep
437	the rain seek the Jedi
438	the Jedi seek I in you
439	they in the darkness follow the Force
440	the Jedi teach the path
441	I sleep
442	I sleep
443	I follow the rain
444	the path sleep through they
445	the rain seek the Force
446	the rain fight
447	the path in the forest in the Force seek the night in the rain in the Jedi
448	the Force fight
449	we follow we
450	they follow the darkness
451	the light sleep
452	I teach I in the night in the darkness in the Force
453	the Jedi seek the night
454	the darkness in the forest fight
455	the Jedi fight
456	the night sleep through the Jedi in the rain in the rain
457	the light fight
458	the Jedi seek the Force through the forest
459	the Jedi fight
460	the light seek I
461	the night fight in the rain
462	the darkness sleep
463	the night fight
464	the light sleep
465	the Jedi in the Jedi fight in the light
466	the path fight in the path
467	the Force follow the Force
468	the Force through the Force fight
469	the Jedi sleep in the light
470	the Jedi seek the Jedi
471	I fight
472	the light sleep
473	the rain sleep
474	the Force sleep
475	the Force teach the forest
476	the rain teach the forest
477	you follow we
478	the darkness seek the Jedi through the Jedi in the Force in the Jedi
479	the Force teach the forest
480	the Force follow the Force
481	the night teach we
482	the Jedi follow the darkness
483	the rain sleep through the Jedi
484	the forest through the path follow we
485	the rain seek you
486	the light follow the Force
487	the Jedi teach they in we
488	the forest sleep in the night in they through the darkness
489	the darkness fight through the light in the night
490	we sleep in you
491	the path sleep in you
492	the night sleep
493	you fight in the darkness in I
494	the light seek the light
495	the darkness seek the path
496	the Force sleep
497	the light teach the darkness
498	the Jedi fight
499	the rain seek I
500	the night seek I
501	the rain follow the Jedi
502	we follow they
503	the light sleep
504	the light seek the path
505	the Force sleep
506	the path sleep
507	the path follow the Force
508	the path teach the rain
509	the night seek the darkness
510	the Force follow they in the forest
511	the Jedi fight in the darkness in the night
512	you sleep in the darkness
513	the Jedi seek the rain
514	the night seek the Jedi
515	the Force in the light sleep in the forest
516	the light sleep
517	the Force fight
518	the night follow we
519	the rain sleep
520	the light fight
521	the Force seek the night
522	the Force sleep
523	the Jedi sleep through we in the Force
524	the darkness sleep
525	I seek the rain
526	you follow the path
527	the Jedi fight
528	the rain seek you
529	the light seek the Force
530	I fight
531	they follow the Jedi
532	I follow the Jedi in the light in the Force
533	the forest in the darkness seek the night
534	the Force sleep
535	the Force fight through we in the path
536	we sleep
537	the darkness sleep
538	they sleep
539	the Jedi in the Force seek I
540	the Jedi fight
541	the night sleep
542	the forest fight
543	the path seek I
544	the Jedi fight
545	the Jedi fight
546	the Jedi in the Jedi fight
547	the rain fight
548	they seek the forest in the Jedi
549	the forest teach the forest
550	the forest fight
551	the Force fight
552	I in the Force follow the rain
553	the rain fight
554	the night follow the light
555	the Jedi in the night sleep
556	the darkness seek the path
557	the light sleep
558	the Jedi fight in the night in the Force
559	the light follow the darkness
560	the forest seek the darkness
561	the Jedi teach they through they
562	the light sleep
563	the Jedi fight
564	the Jedi seek they
565	the path fight in the Jedi in the darkness in the Jedi
566	the light seek you in the Force in I through they
567	we in they fight in the night
568	the Force follow the Jedi
569	you seek the darkness
570	they sleep
571	I follow you
572	I fight
573	the Force sleep
574	the night fight
575	you sleep
576	I fight
577	the Force sleep
578	the Force in the rain teach the light
579	the darkness sleep
580	the light fight
581	the rain seek the Force in the path
582	the darkness fight
583	the rain sleep in the forest
584	the light in the forest seek the forest
585	the darkness follow the light in the Force
586	the light follow we
587	the forest fight
588	the Jedi in I in the night fight
589	the darkness in the Jedi through they fight through the path
590	the Jedi sleep
591	the Force fight
592	the Jedi fight
593	the darkness seek I
594	the night fight
595	the Force sleep
596	the Jedi in I sleep through the darkness
597	the night seek the Force in they
598	the Force teach the night in the night
599	the rain seek the darkness in the darkness in we
600	I fight
601	the Force fight
602	the Force follow the darkness
603	the Jedi fight
604	they follow the night
605	the Jedi fight through the forest
606	the darkness follow I
607	the Force seek they
608	the Jedi teach we through you
609	the path sleep
610	we fight in you in I
611	the forest in the path sleep through the Jedi
612	the night sleep
613	the Force fight
614	you follow they
615	the light fight
616	you follow the rain
617	the rain fight
618	the night sleep
619	the rain sleep
620	the Jedi follow the Jedi
621	the Jedi in you sleep
622	the rain fight
623	the Jedi sleep
624	I seek I
625	the path seek the night in they through they
626	they fight in the darkness
627	they sleep in the Force
628	the night in the Force follow the darkness in the Jedi
629	the forest sleep
630	we sleep
631	the rain fight
632	the night in the forest seek the rain
633	they follow the Force
634	the Force sleep
635	the Jedi sleep in the forest in the Force in the rain
636	the light fight
637	the light fight
638	the darkness sleep
639	they follow the Force
640	the Force in the Jedi sleep
641	the Jedi teach the darkness
642	the Force seek the path
643	the Force sleep
644	the forest fight
645	the darkness fight
646	the Force fight
647	you fight
648	the rain teach the Jedi
649	the light fight
650	the night fight in the path through the Force in I in you in the path
651	the light sleep
652	the path sleep in the night
653	we sleep
654	the Force through the forest teach I
655	the path sleep
656	the darkness sleep in we
657	we sleep
658	the darkness teach the path
659	you sleep
660	the night teach the rain
661	the Force follow the light
662	the darkness seek the Jedi
663	the Force sleep through the Force
664	the Force sleep
665	the rain sleep
666	they fight
667	the path follow the Jedi in the light
668	I sleep through the Force in the Jedi
669	you teach the Force in the Force in the rain in the Jedi
670	the Jedi teach the Jedi
671	the Jedi seek the rain in the Jedi
672	we sleep
673	you teach we in the path through the light
674	the Force follow the Jedi
675	I in the night seek the light
676	the Jedi seek the Jedi in the Jedi through the Force
677	the forest in I fight in they
678	the Force follow the path
679	the night fight through we
680	we fight in the path
681	the Force sleep
682	they sleep
683	the darkness fight
684	the path sleep
685	the darkness teach the night through the darkness
686	the night follow the Jedi in the forest
687	you follow we
688	the path follow the Force in the Force
689	the Force follow the Force in the Jedi
690	the forest follow the Force
691	the darkness sleep
692	you teach the Force
693	the Jedi seek the Jedi in the Force
694	we sleep
695	the path sleep
696	the darkness follow the darkness through they
697	the light follow the night through the darkness
698	the Force through the Force teach the darkness
699	the Force fight
700	I seek the light
701	the Force teach the forest
702	the darkness sleep
703	the path seek the forest
704	they sleep
705	the Jedi seek the forest
706	the Force teach the night
707	the Jedi teach the Force through I in we
708	the light sleep
709	we sleep
710	the path follow the Force
711	I fight
712	the forest sleep
713	the night sleep
714	the light through the path teach the light through the Force in the Force in you
715	you seek the night
716	we follow the Force
717	the rain through the darkness follow they
718	the forest sleep
719	the night fight
720	the Jedi follow the path in I
721	the Jedi seek you in the night
722	the rain sleep
723	the Jedi seek we
724	the rain follow I in we
725	the night seek the forest in the Jedi
726	the night teach the Force
727	the Jedi seek the rain
728	the path follow you
729	the path fight
730	the Jedi sleep
731	the Force seek you
732	the Jedi follow the Force
733	the forest follow the darkness
734	they in we fight
735	the forest follow the forest
736	we seek the Force
737	the darkness teach the darkness
738	the path follow the Jedi in the path through the Force
739	the light in the night in the rain in the Jedi teach the Jedi
740	I sleep
741	I sleep in the Jedi
742	we teach I through the rain
743	the night sleep
744	the darkness fight
745	the forest sleep
746	they sleep
747	the Jedi fight
748	you fight
749	the night seek the forest
750	the Jedi teach the path in the rain in the Jedi
751	the night seek the rain
752	the light seek the forest
753	I seek the darkness
754	the forest teach the darkness
755	the path sleep in they in the night
756	the night follow you
757	the Force sleep
758	the Force fight
759	the light fight
760	the Force in we teach the Force
761	the forest teach the forest
762	the Force teach I
763	I follow the darkness
764	the light follow the path
765	the rain teach they
766	the Force seek the night
767	the light in the rain sleep
768	they teach they
769	the Force teach we
770	the forest seek the path in the Jedi
771	the rain teach the rain
772	the night seek I
773	the darkness fight
774	the forest through the Force fight in the Force
775	the path through the forest sleep
776	the Jedi follow the darkness
777	the light sleep
778	we seek the path
779	the Jedi sleep
780	the Force fight
781	the rain sleep in the light in the path in the light through you in the path
782	the darkness fight
783	the Jedi follow the night
784	the light sleep
785	the light fight
786	the rain in the rain follow the rain through the darkness
787	I teach the darkness
788	the Force teach you
789	the Force teach you
790	the Force teach the light
791	the path sleep
792	the light sleep
793	the rain fight in the Force
794	the night sleep
795	the Force teach the forest in they in they
796	we teach the Jedi
797	I fight
798	the Force fight in the rain
799	the Jedi sleep
800	the light in the night fight
801	they fight
802	the Jedi sleep
803	the darkness through the rain in the darkness sleep
804	the Jedi seek the Force through the light in the Force
805	the forest fight
806	I fight
807	the Jedi sleep
808	the Jedi fight in the forest in the Jedi in the light
809	the path follow the Jedi
810	the light follow the Force
811	the darkness through the night in the path teach they
812	the forest teach the Jedi in the darkness in the Jedi
813	the rain follow the Force
814	the forest follow the rain
815	the forest follow the Jedi through the Force
816	the Jedi sleep
817	the Force follow we
818	the Jedi seek the darkness
819	the Jedi sleep
820	the darkness seek the Force
821	they teach the Jedi in you
822	the night seek the darkness
823	the Force teach the forest
824	the Jedi teach the Force
825	they seek they
826	the darkness follow I
827	the darkness in the night seek the night
828	the night fight
829	the Jedi fight in the Force
830	the Force fight in the Force through the darkness
831	I follow the night
832	the light sleep
833	the light sleep in we in the Jedi
834	the Jedi fight
835	the rain seek we
836	the darkness fight
837	the Jedi sleep in the forest
838	the rain seek the Force
839	the path teach the night in the Force
840	the darkness teach the night in the Force
841	you teach I through the rain
842	they fight
843	the light fight
844	the Jedi teach the rain
845	the Jedi follow the Force
846	the night sleep
847	the rain teach the night
848	the rain seek the darkness
849	the light seek the Force
850	the forest follow the Jedi
851	the rain fight
852	the light sleep in we
853	the path seek the Jedi through we
854	the night fight
855	the light follow the light
856	the Jedi teach the Jedi
857	the light follow the path
858	the darkness fight
859	the Force follow they in the Jedi
860	the Jedi teach the Force in the path
861	the Jedi in they sleep
862	the light follow the light
863	the rain fight
864	the forest teach the path
865	the Jedi follow the Jedi
866	we sleep
867	the night in the night teach the forest
868	the Jedi fight
869	the Force teach we
870	the Force seek they
871	the Jedi seek the Force
872	they sleep
873	they fight
874	we in the Force teach the Jedi
875	the forest fight
876	the Force fight
877	you fight
878	the night sleep
879	you seek the darkness
880	the Jedi follow the Jedi in the Force
881	the Force sleep in the night
882	the path seek the Jedi
883	the light in the Jedi fight in the darkness
884	you fight in the night in the light
885	the Jedi follow the forest
886	the Force follow the rain
887	you teach the night in you
888	the light fight
889	the path fight
890	they fight
891	the Jedi seek the Force
892	the night sleep
893	the Force sleep
894	you follow the light
895	the Force teach the path
896	the forest in the darkness follow the rain
897	the rain seek they in the Force in the path
898	the darkness sleep
899	the Force seek the light
900	they teach the Force
901	I sleep
902	the Jedi follow the rain
903	we fight
904	the forest in the Force seek the Force
905	the Jedi in the Force seek the darkness
906	the Force in the Force in the night sleep
907	we seek the forest
908	the Force sleep
909	the darkness follow you
910	I seek the darkness
911	the rain follow the Jedi
912	the rain sleep
913	the rain follow the Force through the Jedi
914	we sleep
915	the Force fight in the night through the forest through the path
916	the Force follow the darkness
917	the rain teach the Force
918	the path seek the darkness
919	the path fight
920	the Jedi sleep
921	the light teach the light
922	the forest through the Force teach you through the night
923	the night fight
924	the rain through they seek I
925	the Jedi sleep
926	I seek they
927	they fight in I
928	the Jedi seek the night
929	the light seek the Jedi
930	the night follow the Jedi
931	the path fight
932	the forest follow they
933	the Force in the night fight
934	the Jedi fight
935	the Force fight
936	the rain fight
937	the Jedi fight
938	the darkness teach the Jedi
939	I fight through the path in we
940	the night sleep through the forest in we
941	the rain sleep in I in the light
942	the light fight
943	the Force follow the rain
944	the Jedi teach the light
945	the Jedi follow the Force
946	the light teach the Force
947	the darkness fight
948	the path sleep
949	I through the forest fight
950	the Force fight
951	the path fight
952	we fight
953	the darkness follow the forest through the Force through the night
954	the Force sleep
955	the forest sleep
956	you sleep
957	the Jedi sleep
958	the forest fight
959	the Force fight
960	I teach the Jedi
961	the Force sleep
962	the path follow the Jedi
963	the path fight
964	the Jedi sleep
965	the rain follow the darkness in the Jedi
966	the Force fight in the Jedi
967	the Jedi through the forest sleep in the light
968	the Force seek the forest
969	the Force sleep through they
970	the Jedi seek the night
971	the Jedi seek the forest in the Jedi
972	the forest sleep
973	the Jedi sleep
974	the Jedi teach the path
975	the Jedi follow the night
976	the darkness seek the night
977	the Jedi teach we in the darkness
978	the darkness fight
979	they sleep
980	the darkness teach the Jedi
981	you fight in they
982	the Jedi teach the light
983	they sleep in the darkness in the night through the Jedi
984	the Jedi sleep in the Force in we in the Jedi
985	they seek they
986	the Force fight
987	you sleep in the Jedi
988	the path teach the path
989	the path fight
990	the Force sleep
991	the Force follow the darkness
992	the night seek the path
993	you teach the Force
994	they seek the path
995	you sleep
996	the Jedi fight
997	the forest sleep in the Force
998	the Jedi follow the Jedi in the Force
999	the darkness sleep
